[Result Details],,,,,,,,,,,,,,,,,,,,,
2D Batch Result Name,SR-15 endur (150 Nm) - Final Drive Ratio,,,,,,,,,,,,,,,,,,,,
Date Created,3/11/2025 7:09:50 PM,,,,,,,,,,,,,,,,,,,,
Track,2024 Endurance OG,,,,,,,,,,,,,,,,,,,,
Vehicle,SR-15 endur (150 Nm),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
[KPI Values],,,,,,,,,,,,,,,,,,,,,
Time in Sector 4 [s],0.7038589706,0.6934892099,0.6846689232,0.6766585248,0.6690384499,0.6618112225,0.6549994712,0.6487042448,0.6440925896,0.6400291959,0.6364948746,0.6340477804,0.6318900408,0.6299028523,0.6282186978,0.6269577538,0.6259994149,0.6254485686,0.6251407329,0.6250726472,0.625027571
Maximum Speed in Sector 1 [km/h],91.82527845,93.77316244,95.48307327,97.0651474,98.56170942,100.0712022,101.3886685,102.7029817,103.6740317,104.7289258,105.7569287,106.7587644,107.7326815,108.6487558,109.4954443,107.659793,103.9895728,100.5613452,97.35194052,94.34105576,91.51082409
Maximum Speed in Sector 2 [km/h],84.79820693,86.88931274,88.87233864,90.7391496,92.55916641,94.34419809,96.09618855,97.8169081,99.5079744,101.1708703,102.806959,104.4174972,106.0025142,107.5238619,108.7209097,107.659793,103.9895728,100.5613452,97.35194052,94.34105576,91.51082409
Maximum Speed in Sector 3 [km/h],94.13260946,96.63707495,99.05742472,101.3187722,103.426933,105.5189686,107.5336607,109.4749793,111.3464657,113.151291,114.8909569,116.5940448,118.2478355,115.8364862,111.598566,107.659793,103.9895728,100.5613452,97.35194052,94.34105576,91.51082409
Maximum Speed in Sector 4 [km/h],80.05758536,81.01526689,81.7096528,82.29827217,82.83981975,83.32468065,84.02742832,84.78930224,85.47039315,86.34616465,87.39249082,88.21444297,89.00788269,89.77350501,90.44503043,90.94234701,91.52401484,91.69640712,91.9470718,92.05560092,91.51082409
Minimum Speed in Sector 1 [km/h],31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638,31.67564638
Minimum Speed in Sector 2 [km/h],38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006,38.05743006
Minimum Speed in Sector 3 [km/h],29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836,29.01831836
Minimum Speed in Sector 4 [km/h],73.82831857,74.7863229,75.73234892,76.66683527,77.59019449,78.50281511,79.40506356,80.29728592,81.17980945,82.05294398,82.91698321,83.77220582,84.04484719,84.04484719,84.04484719,84.04484719,84.04484719,84.04484719,84.04484719,84.04484719,84.04484719
Percent in Gear 1 [%],100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,
[Vehicle Parameters],,,,,,,,,,,,,,,,,,,,,
Mass Longitudinal Friction [kg],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vehicle Mass [kg],279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82,279.82
Drag Coefficient [-],1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
Downforce Coefficient [-],3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58
